timestamp,RMS,Peak,Crest,ZCR_Hz,dB,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
2026-09-01T21:38:14.348711,278045.69,6291456.0,22.63,125.0,108.88,830.161,-51.74,-9.304,-8.142,-3.589,-3.129,-1.897,-1.907,-1.446,-1.409,-0.981,-0.958,-0.788
2026-09-01T21:38:14.548652,9956.48,225280.0,22.63,125.0,79.96,639.758,-51.067,-8.709,-7.624,-3.14,-2.74,-1.559,-1.614,-1.191,-1.188,-0.79,-0.792,-0.645
2026-09-01T21:38:14.748283,381420.5,8355840.0,21.91,125.0,111.63,846.016,-51.678,-9.248,-8.093,-3.545,-3.09,-1.862,-1.878,-1.421,-1.387,-0.963,-0.942,-0.773
2026-09-01T21:38:14.948025,46340.95,1048576.0,22.63,125.0,93.32,714.146,-50.979,-8.631,-7.558,-3.084,-2.692,-1.518,-1.579,-1.161,-1.162,-0.768,-0.774,-0.629
2026-09-01T21:38:15.349545,14.17,320.0,22.58,93.7,23.03,317.452,-51.7,-9.28,-8.134,-3.596,-3.149,-1.931,-1.955,-1.509,-1.487,-1.071,-1.054,-0.884
2026-09-01T21:38:15.548041,46340.95,1048576.0,22.63,125.0,93.32,707.69,-50.882,-8.547,-7.486,-3.023,-2.64,-1.474,-1.541,-1.13,-1.135,-0.746,-0.755,-0.613
2026-09-01T21:38:15.749035,0.92,1.0,1.09,93.7,0.0,68.269,-12.253,0.991,-0.047,1.69,1.359,1.729,1.158,0.967,0.718,0.662,0.076,-0.456
2026-09-01T21:38:15.948007,281881.0,6291456.0,22.32,125.0,109.0,793.031,-50.736,-8.404,-7.345,-2.898,-2.515,-1.352,-1.427,-1.035,-1.046,-0.681,-0.755,-0.709
2026-09-01T21:38:16.147762,0.91,1.0,1.1,93.7,0.0,67.546,-12.174,1.05,-0.012,1.706,1.364,1.728,1.156,0.965,0.712,0.655,0.072,-0.452
2026-09-01T21:38:16.349515,15.6,352.0,22.57,125.0,23.86,296.69,-52.335,-9.866,-8.671,-4.089,-3.605,-2.353,-2.351,-1.883,-1.842,-1.413,-1.384,-1.199
2026-09-01T21:38:16.548040,370727.59,8388608.0,22.63,125.0,111.38,715.327,-51.637,-9.212,-8.061,-3.518,-3.066,-1.842,-1.859,-1.404,-1.372,-0.949,-0.93,-0.763
2026-09-01T21:38:16.747186,98468.82,2228095.0,22.63,125.0,99.87,699.753,-50.302,-8.049,-7.068,-2.674,-2.349,-1.231,-1.337,-0.959,-0.992,-0.626,-0.655,-0.53
2026-09-01T21:38:16.947896,11585.3,262145.0,22.63,125.0,81.28,584.961,-52.703,-10.183,-8.934,-4.299,-3.766,-2.469,-2.421,-1.907,-1.822,-1.352,-1.29,-1.084
2026-09-01T21:38:17.147168,92840.25,2100735.0,22.63,125.0,99.35,767.048,-51.912,-9.459,-8.279,-3.71,-3.235,-1.991,-1.99,-1.519,-1.473,-1.039,-1.008,-0.832
2026-09-01T21:38:17.347913,139022.84,3145728.0,22.63,125.0,102.86,684.588,-52.728,-10.206,-8.955,-4.319,-3.784,-2.486,-2.437,-1.922,-1.835,-1.363,-1.299,-1.092
